sex,method,age_group,sample,race,published_estimate,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
men,all_method,adults,healthy,white,yes,r,RE_DL,-0.006251025870411077,-0.06918717785768305,0.05668512611686089,0.8456512385748176,8,"1,6,10,11,17,18,20,25","1,6,10,11,17,18,20,25",8,0,107,0.12587230397454394
men,direct,adults,all_sample,all_race,yes,r,FE,-0.005169807603715859,-0.0678656128205835,0.05752599761315178,0.8716083641267082,5,"1,9,17,19,20","1,9,17,19,20",5,0,108,0.12539161043373528
women,image,adults,healthy,other,yes,r,REML,-0.004662870011242612,-0.06323473964456582,0.05390899962208059,0.8760081836800934,3,"16,23,27","16,23,27",3,0,109,0.1171437392666464
women,image,adults,healthy,other,yes,r,RE_DL,-0.004662870011242612,-0.06323473964456582,0.05390899962208059,0.8760081836800934,3,"16,23,27","16,23,27",3,0,110,0.1171437392666464
women,image,adults,healthy,other,yes,r,FE,-0.004662870011242612,-0.06323473964456582,0.05390899962208059,0.8760081836800934,3,"16,23,27","16,23,27",3,0,111,0.1171437392666464
women,image,adults,healthy,other,yes,z,REML,-0.00466248877181374,-0.06319567851771478,0.05390266774255585,0.8761130529603696,3,"16,23,27","16,23,27",3,0,112,0.11709834626027063
women,image,adults,healthy,other,yes,z,RE_DL,-0.00466248877181374,-0.06319567851771478,0.05390266774255585,0.8761130529603696,3,"16,23,27","16,23,27",3,0,113,0.11709834626027063
women,image,adults,healthy,other,yes,z,FE,-0.00466248877181374,-0.06319567851771478,0.05390266774255585,0.8761130529603696,3,"16,23,27","16,23,27",3,0,114,0.11709834626027063
women,image,adults,healthy,all_race,all_published_estimate,r,REML,-0.004392215820861037,-0.061238786255504114,0.05245435461378204,0.8796322428590426,4,"3,16,23,27","3,16,23,27",4,0,115,0.11369314086928616
women,image,adults,healthy,all_race,all_published_estimate,r,RE_DL,-0.004392215820861037,-0.061238786255504114,0.05245435461378204,0.8796322428590426,4,"3,16,23,27","3,16,23,27",4,0,116,0.11369314086928616
women,image,adults,healthy,all_race,all_published_estimate,r,FE,-0.004392215820861037,-0.061238786255504114,0.05245435461378204,0.8796322428590426,4,"3,16,23,27","3,16,23,27",4,0,117,0.11369314086928616
women,image,adults,healthy,all_race,all_published_estimate,z,FE,-0.004391463108249315,-0.06120317094970057,0.05244860694261073,0.8797394920782481,4,"3,16,23,27","3,16,23,27",4,0,118,0.11365177789231129
women,image,adults,healthy,all_race,all_published_estimate,z,REML,-0.004391463108249315,-0.06120317094970057,0.05244860694261073,0.8797394920782481,4,"3,16,23,27","3,16,23,27",4,0,119,0.11365177789231129
women,image,adults,healthy,all_race,all_published_estimate,z,RE_DL,-0.004391463108249315,-0.06120317094970057,0.05244860694261073,0.8797394920782481,4,"3,16,23,27","3,16,23,27",4,0,120,0.11365177789231129
women,image,all_age_group,all_sample,all_race,yes,z,unweighted,-0.0034439950500443402,-0.06049058580331518,0.05362502045999567,0.9059301706081033,9,"8,13,16,22,23,24,27,29,31","8,13,16,22,23,24,27,29,31",9,0,121,0.11411560626331085
women,image,all_age_group,all_sample,all_race,all_published_estimate,z,unweighted,-0.003099597873473381,-0.059593596733074586,0.05341419328688263,0.9144706401545559,10,"3,8,13,16,22,23,24,27,29,31","3,8,13,16,22,23,24,27,29,31",10,0,122,0.11300779001995721
