religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
Beliefs,College,all_publicationstatus,z,unweighted,-0.15531295442538756,-0.18172337254327275,-0.1286786337256679,1.481344133009287e-29,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,46,0.05304473881760485
mixed,Non-College,published,z,RE_DL,-0.15445683427263038,-0.1859454332855464,-0.12265129327886237,4.967390612615169e-21,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,47,0.06329414000668404
Beliefs,College,published,z,RE_DL,-0.15414964642223758,-0.1910672154685372,-0.11679658945198768,1.2164987751819892e-15,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,48,0.07427062601654952
mixed,Non-College,all_publicationstatus,z,REML,-0.15414685238515427,-0.18666435230814335,-0.12129196750643982,9.648778648750615e-20,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,49,0.06537238480170353
mixed,Non-College,all_publicationstatus,r,RE_DL,-0.15401871450963897,-0.18360891457292786,-0.12442851444635009,1.9477841823146913e-24,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,50,0.05918040012657777
mixed,Non-College,all_publicationstatus,z,RE_DL,-0.1529007490048001,-0.18206405940320206,-0.12346867461494425,7.824461891509399e-24,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,51,0.05859538478825781
Beliefs,College,all_publicationstatus,r,REML,-0.15257970285977668,-0.19628825855258492,-0.10887114716696844,7.813521689253529e-12,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,52,0.08741711138561647
Beliefs,College,all_publicationstatus,r,RE_DL,-0.15204356980414613,-0.1878914583290648,-0.11619568127922747,9.339103054989202e-17,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,53,0.07169577704983732
Beliefs,College,all_publicationstatus,r,unweighted,-0.1519714285714286,-0.1779373457104505,-0.12600551143240668,1.842281039060033e-30,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,54,0.05193183427804382
Beliefs,College,all_publicationstatus,z,REML,-0.15114484857904936,-0.1937496594870292,-0.10797100242915064,1.0660197644344937e-11,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,55,0.08577865705787857
mixed,Non-College,published,r,FE,-0.1496323543467607,-0.1629292373367146,-0.1363354713568068,8.394426261869819e-108,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,56,0.026593765979907813
mixed,Non-College,all_publicationstatus,r,FE,-0.14938167897149904,-0.1625044002801614,-0.1362589576628367,2.881396465374279e-110,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,57,0.0262454426173247
mixed,College,published,z,unweighted,-0.14931092792392286,-0.22060764031949712,-0.07642708005902482,6.550895623573978e-05,5,"31,49,54,79,91","31,49,54,79,91",5,0,58,0.1441805602604723
Beliefs,College,all_publicationstatus,z,RE_DL,-0.14901832138964932,-0.1834766102712294,-0.11419427313648725,1.0178089216780843e-16,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,59,0.06928233713474216
mixed,Non-College,published,z,FE,-0.1490100472944202,-0.16229699691488206,-0.13566907075540569,1.4932900113140226e-103,10,"50,71,72,73,76,77,81,82,86,101","50,71,72,73,76,77,81,82,86,101",10,0,60,0.026627926159476373
mixed,Non-College,all_publicationstatus,z,FE,-0.14877404150408846,-0.16188694454736643,-0.1356086079408038,5.9249217408354355e-106,11,"12,50,71,72,73,76,77,81,82,86,101","12,50,71,72,73,76,77,81,82,86,101",11,0,61,0.026278336606562647
mixed,College,published,r,unweighted,-0.14780000000000013,-0.21929949167062945,-0.07630050832937081,5.088276159229282e-05,5,"31,49,54,79,91","31,49,54,79,91",5,0,62,0.14299898334125866
Behavior,Non-College,published,r,REML,-0.14630019604886385,-0.19308591684334897,-0.09951447525437872,8.851117395627234e-10,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,63,0.09357144158897025
Behavior,Non-College,published,z,REML,-0.14594698739647902,-0.1922852882839993,-0.0989593050210886,1.5562061506369954e-09,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,64,0.0933259832629107
Behavior,Non-College,published,r,RE_DL,-0.14221408110488576,-0.1782496985360874,-0.10617846367368412,1.0342619776286011e-14,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,65,0.07207123486240329
Behavior,Non-College,published,z,RE_DL,-0.1416142252502455,-0.17714159698443543,-0.10571826341478244,1.7926133998014066e-14,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,66,0.071423333569653
