"sex","method","age_group","sample","race","published_estimate","effect","ma_method","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"men","image","all_age_group","healthy","all_race","all_published_estimate","z","RE_DL",0.00758760115251104,-0.0216914130287809,0.0368536112589244,0.611545108627704,15,"2,4,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,6,7,10,11,12,14,15,18,21,25,26,28,30",15,0,284,0.0585450242877054
"men","all_method","adults","all_sample","all_race","all_published_estimate","r","REML",0.00780092052217903,-0.035964039447237,0.051565880491595,0.726822543370736,15,"1,2,4,5,6,9,10,11,15,17,18,19,20,25,26","1,2,4,5,6,9,10,11,15,17,18,19,20,25,26",15,0,285,0.087529919938832
"men","all_method","all_age_group","healthy","white","all_published_estimate","r","RE_DL",0.00781849222713609,-0.0413574277840542,0.0569944122383264,0.755332996136248,16,"1,2,4,6,7,10,11,12,14,17,18,20,21,25,28,30","1,2,4,6,7,10,11,12,14,17,18,20,21,25,28,30",16,0,286,0.0983518400223806
"men","all_method","all_age_group","healthy","all_race","yes","r","FE",0.00812778678632647,-0.0187487807404062,0.0350043543130591,0.553371287150091,17,"1,6,7,9,10,11,12,14,15,17,18,20,21,25,26,28,30","1,6,7,9,10,11,12,14,15,17,18,20,21,25,26,28,30",17,0,287,0.0537531350534653
"men","all_method","all_age_group","healthy","all_race","yes","r","REML",0.00812867924778486,-0.0187514637100724,0.0350088222056421,0.553380501232034,17,"1,6,7,9,10,11,12,14,15,17,18,20,21,25,26,28,30","1,6,7,9,10,11,12,14,15,17,18,20,21,25,26,28,30",17,0,288,0.0537602859157145
"men","all_method","all_age_group","all_sample","all_race","yes","r","FE",0.00815211505769185,-0.0185492591558655,0.0348534892712492,0.549579322068819,18,"1,6,7,9,10,11,12,14,15,17,18,19,20,21,25,26,28,30","1,6,7,9,10,11,12,14,15,17,18,19,20,21,25,26,28,30",18,0,289,0.0534027484271148
"men","all_method","all_age_group","all_sample","all_race","yes","r","REML",0.00815238713258796,-0.0185500635125474,0.0348548377777233,0.549582091863742,18,"1,6,7,9,10,11,12,14,15,17,18,19,20,21,25,26,28,30","1,6,7,9,10,11,12,14,15,17,18,19,20,21,25,26,28,30",18,0,290,0.0534049012902706
"men","image","non-adults","healthy","white","yes","r","FE",0.00861224495586553,-0.025658586551501,0.0428830764632321,0.622339000887024,6,"7,12,14,21,28,30","7,12,14,21,28,30",6,0,291,0.0685416630147331
"men","all_method","all_age_group","all_sample","all_race","yes","z","RE_DL",0.00863166415920288,-0.0269543002792394,0.0441957787893698,0.634554012024064,18,"1,6,7,9,10,11,12,14,15,17,18,19,20,21,25,26,28,30","1,6,7,9,10,11,12,14,15,17,18,19,20,21,25,26,28,30",18,0,292,0.0711500790686092
"men","all_method","adults","all_sample","all_race","yes","r","RE_DL",0.00866028782209593,-0.0349347096109966,0.0522552852551885,0.697014878939024,12,"1,6,9,10,11,15,17,18,19,20,25,26","1,6,9,10,11,15,17,18,19,20,25,26",12,0,293,0.0871899948661851
"men","image","all_age_group","healthy","white","all_published_estimate","r","RE_DL",0.00883312438001762,-0.0450155152973865,0.0626817640574217,0.747827741280139,13,"2,4,6,7,10,11,12,14,18,21,25,28,30","2,4,6,7,10,11,12,14,18,21,25,28,30",13,0,294,0.107697279354808
